Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
True differentiable J2 QP-HistoryGNO,Cyclic disp. rel. L2,1634.42,0,1634.42,1634.42,1634.42,0,1634.42,1634.42,1
True differentiable J2 QP-HistoryGNO,Cyclic history rel. L2,1.17636,0,1.17636,1.17636,1.17636,0,1.17636,1.17636,1
True differentiable J2 QP-HistoryGNO,History-increment rel. L2,1.00043,0,1.00043,1.00043,1.00043,0,1.00043,1.00043,1
True differentiable J2 QP-HistoryGNO,QP history rel. L2,1.76494,0,1.76494,1.76494,1.76494,0,1.76494,1.76494,1
True differentiable J2 QP-HistoryGNO,QP history-inc. rel. L2,1.00066,0,1.00066,1.00066,1.00066,0,1.00066,1.00066,1
True differentiable J2 QP-HistoryGNO,QP eqp rel. L2,9.59477,0,9.59477,9.59477,9.59477,0,9.59477,9.59477,1
True differentiable J2 QP-HistoryGNO,QP plastic-work rel. L2,10.6124,0,10.6124,10.6124,10.6124,0,10.6124,10.6124,1
True differentiable J2 QP-HistoryGNO,QP von-Mises rel. L2,1.08158,0,1.08158,1.08158,1.08158,0,1.08158,1.08158,1
True differentiable J2 QP-HistoryGNO,QP reversal scalar-inc. rel. L2,1.00001,0,1.00001,1.00001,1.00001,0,1.00001,1.00001,1
True differentiable J2 QP-HistoryGNO,QP reversal eqp-inc. rel. L2,4.26669,0,4.26669,4.26669,4.26669,0,4.26669,4.26669,1
True differentiable J2 QP-HistoryGNO,QP reversal work-inc. rel. L2,5.1662,0,5.1662,5.1662,5.1662,0,5.1662,5.1662,1
True differentiable J2 QP-HistoryGNO,QP reversal yield MAE,0.490385,0,0.490385,0.490385,0.490385,0,0.490385,0.490385,1
True differentiable J2 QP-HistoryGNO,QP inactive false plasticity,0.500059,0,0.500059,0.500059,0.500059,0,0.500059,0.500059,1
True differentiable J2 QP-HistoryGNO,True-J2 consistency rel. RMS,2.67606e-07,0,2.67606e-07,2.67606e-07,2.67606e-07,0,2.67606e-07,2.67606e-07,1
True differentiable J2 QP-HistoryGNO,True-J2 active consistency rel. RMS,2.67606e-07,0,2.67606e-07,2.67606e-07,2.67606e-07,0,2.67606e-07,2.67606e-07,1
True differentiable J2 QP-HistoryGNO,True-J2 negative dgamma,0,0,0,0,0,0,0,0,1
True differentiable J2 QP-HistoryGNO,True-J2 active QP frac.,1,0,1,1,1,0,1,1,1
True differentiable J2 QP-HistoryGNO,Eqp increment rel. L2,9.13198,0,9.13198,9.13198,9.13198,0,9.13198,9.13198,1
True differentiable J2 QP-HistoryGNO,Plastic-work inc. rel. L2,10.9104,0,10.9104,10.9104,10.9104,0,10.9104,10.9104,1
True differentiable J2 QP-HistoryGNO,Reversal hist-inc. rel. L2,1.00033,0,1.00033,1.00033,1.00033,0,1.00033,1.00033,1
True differentiable J2 QP-HistoryGNO,Reversal yield-flag MAE,0.558824,0,0.558824,0.558824,0.558824,0,0.558824,0.558824,1
True differentiable J2 QP-HistoryGNO,Yield-surface RMS,1.97819e-07,0,1.97819e-07,1.97819e-07,1.97819e-07,0,1.97819e-07,1.97819e-07,1
True differentiable J2 QP-HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,1
True differentiable J2 QP-HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,1
True differentiable J2 QP-HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,1
True differentiable J2 QP-HistoryGNO,FEM residual rel. RMS,56.5906,0,56.5906,56.5906,56.5906,0,56.5906,56.5906,1
True differentiable J2 QP-HistoryGNO,FEM energy rel. err.,4920.65,0,4920.65,4920.65,4920.65,0,4920.65,4920.65,1
True differentiable J2 QP-HistoryGNO,FEM tangent-solver rel. RMS,2163.01,0,2163.01,2163.01,2163.01,0,2163.01,2163.01,1
True differentiable J2 QP-HistoryGNO,Newton initial residual rel. RMS,52.5473,0,52.5473,52.5473,52.5473,0,52.5473,52.5473,1
True differentiable J2 QP-HistoryGNO,Newton final residual rel. RMS,0.000684947,0,0.000684947,0.000684947,0.000684947,0,0.000684947,0.000684947,1
True differentiable J2 QP-HistoryGNO,Newton residual ratio,1.43737e-05,0,1.43737e-05,1.43737e-05,1.43737e-05,0,1.43737e-05,1.43737e-05,1
True differentiable J2 QP-HistoryGNO,Newton residual decrease frac.,0.999986,0,0.999986,0.999986,0.999986,0,0.999986,0.999986,1
True differentiable J2 QP-HistoryGNO,Newton step decrease frac.,0.999986,0,0.999986,0.999986,0.999986,0,0.999986,0.999986,1
True differentiable J2 QP-HistoryGNO,Newton step 1 residual ratio,1.43737e-05,0,1.43737e-05,1.43737e-05,1.43737e-05,0,1.43737e-05,1.43737e-05,1
True differentiable J2 QP-HistoryGNO,Newton step 1 decrease frac.,0.999986,0,0.999986,0.999986,0.999986,0,0.999986,0.999986,1
True differentiable J2 QP-HistoryGNO,Newton correction rel. norm,15.4262,0,15.4262,15.4262,15.4262,0,15.4262,15.4262,1
True differentiable J2 QP-HistoryGNO,Newton accepted damping,1,0,1,1,1,0,1,1,1
True differentiable J2 QP-HistoryGNO,Newton convergence rate,1,0,1,1,1,0,1,1,1
True differentiable J2 QP-HistoryGNO,Newton failure rate,0,0,0,0,0,0,0,0,1
