Model,Load path,Seeds,Disp. rel. L2,History rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,HANO strain rel. L2,HANO stress rel. L2,FEM residual rel. RMS,FEM energy rel. err.
QP-thermo-hard HistoryGNO,monotonic,5,88.5544 +/- 40.4753,1.8176 +/- 0.2420,1.0005 +/- 0.0008,2.8608 +/- 0.2291,1.0009 +/- 0.0014,17.9204 +/- 4.4137,19.5151 +/- 5.0120,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0334 +/- 0.0668,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,58.9634 +/- 48.8140,62.9524 +/- 67.8739
QP-thermo-hard HistoryGNO,cyclic,5,76.0234 +/- 34.7837,1.0711 +/- 0.1233,0.9996 +/- 0.0011,1.7966 +/- 0.1535,0.9998 +/- 0.0010,4.4811 +/- 1.1239,4.7858 +/- 1.2510,1.0000 +/- 0.0003,0.4669 +/- 0.0102,0.0334 +/- 0.0668,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,61.5074 +/- 50.8689,5773.6369 +/- 8295.0429
QP-thermo-hard HistoryGNO,nonproportional,5,66.1765 +/- 30.1911,1.1751 +/- 0.1408,1.0002 +/- 0.0004,1.9058 +/- 0.1563,1.0005 +/- 0.0010,11.4608 +/- 2.8559,12.4243 +/- 3.2248,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0334 +/- 0.0668,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,47.4730 +/- 39.3088,70.7342 +/- 96.9034
Faithful HANO strain-stress spectral-window NO,monotonic,5,213.9685 +/- 78.4669,2.4601 +/- 0.8037,1.0273 +/- 0.0179,,,548.2868 +/- 369.2986,546.3029 +/- 483.4892,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.3195 +/- 0.2606,0.0108 +/- 0.0123,1918.2190 +/- 2179.1700,9.3921 +/- 11.6484,82.0944 +/- 43.3649,14.6948 +/- 4.7537,656.5126 +/- 277.2598,2732.7038 +/- 1977.1841
Faithful HANO strain-stress spectral-window NO,cyclic,5,183.5656 +/- 67.2480,1.7388 +/- 0.5764,1.0074 +/- 0.0056,,,142.3307 +/- 96.0434,138.6923 +/- 122.9709,1.0271 +/- 0.0136,0.5125 +/- 0.0282,0.3195 +/- 0.2606,0.0108 +/- 0.0123,487.8991 +/- 554.2826,9.3912 +/- 11.6466,75.1160 +/- 41.9306,11.8735 +/- 3.8135,700.2654 +/- 309.1091,612648.4277 +/- 650730.0508
Faithful HANO strain-stress spectral-window NO,nonproportional,5,159.9391 +/- 58.6787,1.8266 +/- 0.6013,1.0230 +/- 0.0146,,,355.8012 +/- 239.7667,352.3263 +/- 311.9765,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.3195 +/- 0.2606,0.0108 +/- 0.0123,1237.8114 +/- 1406.1472,9.3930 +/- 11.6489,60.3537 +/- 32.5645,12.1469 +/- 3.9150,538.8702 +/- 235.7224,5840.6280 +/- 5650.1152
HANO-style window NO,monotonic,5,201.0889 +/- 19.0990,1.5927 +/- 0.7807,1.0155 +/- 0.0130,,,690.2221 +/- 421.2048,585.3536 +/- 224.0083,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.1249 +/- 0.0999,0.0159 +/- 0.0144,2818.1539 +/- 2556.4784,6.2042 +/- 6.0191,,,320.8291 +/- 176.5362,903.3053 +/- 932.4745
HANO-style window NO,cyclic,5,172.3619 +/- 16.4208,1.2688 +/- 0.4682,1.0043 +/- 0.0045,,,179.2533 +/- 109.5397,148.6188 +/- 56.9797,1.0241 +/- 0.0190,0.5240 +/- 0.0133,0.1249 +/- 0.0999,0.0159 +/- 0.0144,716.8290 +/- 650.2678,6.2042 +/- 6.0191,,,333.8762 +/- 184.3054,100249.1746 +/- 112056.4347
HANO-style window NO,nonproportional,5,150.3448 +/- 14.3107,1.3078 +/- 0.5060,1.0137 +/- 0.0115,,,447.9424 +/- 273.4625,377.5258 +/- 144.5454,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.1249 +/- 0.0999,0.0159 +/- 0.0144,1818.4566 +/- 1649.6086,6.2042 +/- 6.0191,,,259.7463 +/- 139.7229,1128.3214 +/- 1240.5605
INCDE-style Euler neural CDE,monotonic,5,230.1485 +/- 83.9472,0.9027 +/- 0.0090,0.9786 +/- 0.0019,,,52.0370 +/- 38.5935,716.3936 +/- 482.2271,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.1263 +/- 0.0420,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,205.0107 +/- 85.8390,385.5969 +/- 189.8337
INCDE-style Euler neural CDE,cyclic,5,197.4466 +/- 71.8527,0.7745 +/- 0.0068,1.0102 +/- 0.0041,,,13.4501 +/- 9.8380,181.9491 +/- 122.6433,1.0517 +/- 0.0152,0.5013 +/- 0.0019,0.1263 +/- 0.0420,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,,,213.5406 +/- 89.3815,43161.7881 +/- 29779.4598
