Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,FEM residual rel. RMS,FEM energy rel. err.,HANO strain rel. L2,HANO stress rel. L2
QP-thermo-hard HistoryGNO,20260517,2485.58,37.9464,1.12886,0.997514,1.86776,0.997837,3.91496,4.12,0.99939,0.462412,1.6789e-05,0,0,0,31.006,715.816,,
QP-thermo-hard HistoryGNO,20260518,3980.55,72.7059,1.13365,1.00008,1.87468,1.00015,4.17571,4.43096,1.0002,0.461673,3.36211e-07,0,0,0,33.7874,1751.81,,
QP-thermo-hard HistoryGNO,20260519,1727.11,102.424,1.13398,1.00009,1.87519,1.00016,5.05991,5.43703,1.00022,0.461679,4.70675e-07,0,0,0,41.1898,3051.45,,
QP-thermo-hard HistoryGNO,20260520,391.172,40.0503,0.824645,1.0003,1.4896,1.00085,2.96544,3.13161,1.00008,0.487225,0.167092,0,0,0,162.996,22286.6,,
QP-thermo-hard HistoryGNO,20260521,9032.27,126.99,1.13443,1.00012,1.87562,1.00021,6.28947,6.80948,1.00033,0.461667,6.60308e-08,0,0,0,38.5575,1062.53,,
Faithful HANO strain-stress spectral-window NO,20260517,18366.7,169.054,1.36428,1.00563,,,29.2834,102.035,1.02394,0.53243,0.242173,0,0,0,207.867,28427.7,13.9273,9.22942
Faithful HANO strain-stress spectral-window NO,20260518,12837.9,178.132,2.66517,1.01017,,,94.7348,23.8989,1.0056,0.535259,0.188223,0.00419992,189.817,7.83063,907.596,448127,110.61,8.46635
Faithful HANO strain-stress spectral-window NO,20260519,18499.3,111.455,1.89366,1.01611,,,293.225,188.073,1.04658,0.471363,0.785149,0.0311431,1407.52,7.46973,523.974,173146,61.7224,19.1022
Faithful HANO strain-stress spectral-window NO,20260520,53916.9,310.012,1.82659,1.00566,,,211.47,26.2648,1.03533,0.537723,0.00872749,0.0186338,842.159,31.6554,1096.47,1.85859e+06,132.367,12.0486
Faithful HANO strain-stress spectral-window NO,20260521,8783.02,149.175,0.944299,0.999309,,,82.9402,353.191,1.02389,0.485663,0.373274,0,0,0,765.421,554949,56.953,10.5208
HANO-style window NO,20260517,17824.9,143.68,1.03489,1.00066,,,120.525,245.939,1.00996,0.536576,0.0151515,0.00253519,114.578,0.465214,209.217,23101.2,,
HANO-style window NO,20260518,26404.6,182.853,0.896708,0.998709,,,10.5793,148.962,1.00185,0.528516,0.122529,0,0,0,400.855,118023,,
HANO-style window NO,20260519,9736.03,192.69,1.44437,1.0106,,,302.474,94.4967,1.04667,0.499135,0.284214,0.0343953,1554.5,16.3896,147.229,13799.1,,
HANO-style window NO,20260520,51311.5,171.357,0.859569,1.00324,,,170.17,88.8677,1.01511,0.5225,0.176618,0.0110456,499.21,5.59482,662.354,311743,,
HANO-style window NO,20260521,12290.3,171.23,2.10833,1.00817,,,292.518,164.829,1.04701,0.533459,0.0261446,0.0313275,1415.85,8.57156,249.726,34580.3,,
INCDE-style Euler neural CDE,20260517,160319,289.19,0.77009,1.00693,,,19.1083,268.361,1.04537,0.50153,0.141858,0,0,0,175.836,23863.3,,
INCDE-style Euler neural CDE,20260518,180846,186.353,0.784749,1.01722,,,0.93747,239.625,1.07257,0.498822,0.0872757,0,0,0,88.6439,9947.95,,
INCDE-style Euler neural CDE,20260519,233840,235.35,0.767341,1.00632,,,15.972,37.3108,1.03041,0.504633,0.160181,0,0,0,349.233,92123.7,,
INCDE-style Euler neural CDE,20260520,93672.1,71.7999,0.770144,1.01241,,,3.7927,34.7576,1.04485,0.501339,0.0669785,0,0,0,272.548,61594.2,,
INCDE-style Euler neural CDE,20260521,96707.8,204.54,0.780286,1.00791,,,27.4401,329.691,1.06523,0.499999,0.175217,0,0,0,181.442,28279.9,,
TINN-style thermo-projected neural CDE,20260517,159677,288.964,0.999867,1,,,1,1,0.999998,0.538333,2.35876e-09,0,0,0,175.947,23859.8,,
TINN-style thermo-projected neural CDE,20260518,180852,186.357,0.999997,1,,,1,1,1,0.538333,2.0678e-09,0,0,0,88.6675,9948.58,,
TINN-style thermo-projected neural CDE,20260519,233833,235.382,0.999896,1,,,1,1,1,0.538333,2.29609e-09,0,0,0,349.191,92111.1,,
TINN-style thermo-projected neural CDE,20260520,93672.2,71.7999,0.99997,1,,,1,1,0.999999,0.538333,2.12353e-09,0,0,0,272.538,61592.6,,
TINN-style thermo-projected neural CDE,20260521,96705.8,204.538,0.999941,1,,,1,1,1,0.538333,2.19141e-09,0,0,0,181.451,28280,,
