Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,76.0234,34.7837,72.7059,40.0503,102.424,62.3738,37.9464,126.99,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.07111,0.123251,1.13365,1.12886,1.13398,0.00512373,0.824645,1.13443,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,0.999619,0.00105567,1.00009,1.00008,1.00012,3.76701e-05,0.997514,1.0003,5
QP-thermo-hard HistoryGNO,QP history rel. L2,1.79657,0.153514,1.87468,1.86776,1.87519,0.00743067,1.4896,1.87562,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,0.999843,0.00103722,1.00016,1.00015,1.00021,6.7234e-05,0.997837,1.00085,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,4.4811,1.12394,4.17571,3.91496,5.05991,1.14495,2.96544,6.28947,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,4.78581,1.25099,4.43096,4.12,5.43703,1.31703,3.13161,6.80948,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.00004,0.000336904,1.0002,1.00008,1.00022,0.000136495,0.99939,1.00033,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.466931,0.0101511,0.461679,0.461673,0.462412,0.000739545,0.461667,0.487225,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,0.0334219,0.0668351,4.70675e-07,3.36211e-07,1.6789e-05,1.64528e-05,6.60308e-08,0.167092,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,61.5074,50.8689,38.5575,33.7874,41.1898,7.40237,31.006,162.996,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,5773.64,8295.04,1751.81,1062.53,3051.45,1988.91,715.816,22286.6,5
Faithful HANO strain-stress spectral-window NO,Cyclic disp. rel. L2,183.566,67.248,169.054,149.175,178.132,28.957,111.455,310.012,5
Faithful HANO strain-stress spectral-window NO,Cyclic history rel. L2,1.7388,0.576429,1.82659,1.36428,1.89366,0.529385,0.944299,2.66517,5
Faithful HANO strain-stress spectral-window NO,History-increment rel. L2,1.00738,0.00557087,1.00566,1.00563,1.01017,0.00454021,0.999309,1.01611,5
Faithful HANO strain-stress spectral-window NO,Eqp increment rel. L2,142.331,96.0434,94.7348,82.9402,211.47,128.53,29.2834,293.225,5
Faithful HANO strain-stress spectral-window NO,Plastic-work inc. rel. L2,138.692,122.971,102.035,26.2648,188.073,161.808,23.8989,353.191,5
Faithful HANO strain-stress spectral-window NO,Reversal hist-inc. rel. L2,1.02707,0.013636,1.02394,1.02389,1.03533,0.0114392,1.0056,1.04658,5
Faithful HANO strain-stress spectral-window NO,Reversal yield-flag MAE,0.512488,0.028156,0.53243,0.485663,0.535259,0.0495961,0.471363,0.537723,5
Faithful HANO strain-stress spectral-window NO,Yield-surface RMS,0.319509,0.260581,0.242173,0.188223,0.373274,0.185051,0.00872749,0.785149,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation abs.,0.0107954,0.0122642,0.00419992,0,0.0186338,0.0186338,0,0.0311431,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation target-norm.,487.899,554.283,189.817,0,842.159,842.159,0,1407.52,5
Faithful HANO strain-stress spectral-window NO,Plastic-work violation pred-norm.,9.39116,11.6466,7.46973,0,7.83063,7.83063,0,31.6554,5
Faithful HANO strain-stress spectral-window NO,HANO strain rel. L2,75.116,41.9306,61.7224,56.953,110.61,53.657,13.9273,132.367,5
Faithful HANO strain-stress spectral-window NO,HANO stress rel. L2,11.8735,3.81352,10.5208,9.22942,12.0486,2.81923,8.46635,19.1022,5
Faithful HANO strain-stress spectral-window NO,FEM residual rel. RMS,700.265,309.109,765.421,523.974,907.596,383.622,207.867,1096.47,5
Faithful HANO strain-stress spectral-window NO,FEM energy rel. err.,612648,650730,448127,173146,554949,381803,28427.7,1.85859e+06,5
HANO-style window NO,Cyclic disp. rel. L2,172.362,16.4208,171.357,171.23,182.853,11.6233,143.68,192.69,5
HANO-style window NO,Cyclic history rel. L2,1.26877,0.468248,1.03489,0.896708,1.44437,0.547665,0.859569,2.10833,5
HANO-style window NO,History-increment rel. L2,1.00428,0.00447876,1.00324,1.00066,1.00817,0.00750792,0.998709,1.0106,5
HANO-style window NO,Eqp increment rel. L2,179.253,109.54,170.17,120.525,292.518,171.993,10.5793,302.474,5
HANO-style window NO,Plastic-work inc. rel. L2,148.619,56.9797,148.962,94.4967,164.829,70.3319,88.8677,245.939,5
HANO-style window NO,Reversal hist-inc. rel. L2,1.02412,0.0190278,1.01511,1.00996,1.04667,0.0367132,1.00185,1.04701,5
HANO-style window NO,Reversal yield-flag MAE,0.524037,0.0133306,0.528516,0.5225,0.533459,0.0109586,0.499135,0.536576,5
HANO-style window NO,Yield-surface RMS,0.124931,0.0998585,0.122529,0.0261446,0.176618,0.150474,0.0151515,0.284214,5
HANO-style window NO,Plastic-work violation abs.,0.0158607,0.014388,0.0110456,0.00253519,0.0313275,0.0287923,0,0.0343953,5
HANO-style window NO,Plastic-work violation target-norm.,716.829,650.268,499.21,114.578,1415.85,1301.27,0,1554.5,5
HANO-style window NO,Plastic-work violation pred-norm.,6.20425,6.01908,5.59482,0.465214,8.57156,8.10634,0,16.3896,5
HANO-style window NO,FEM residual rel. RMS,333.876,184.305,249.726,209.217,400.855,191.639,147.229,662.354,5
HANO-style window NO,FEM energy rel. err.,100249,112056,34580.3,23101.2,118023,94921.5,13799.1,311743,5
INCDE-style Euler neural CDE,Cyclic disp. rel. L2,197.447,71.8527,204.54,186.353,235.35,48.9972,71.7999,289.19,5
INCDE-style Euler neural CDE,Cyclic history rel. L2,0.774522,0.00675577,0.770144,0.77009,0.780286,0.0101967,0.767341,0.784749,5
INCDE-style Euler neural CDE,History-increment rel. L2,1.01016,0.00412713,1.00791,1.00693,1.01241,0.00547493,1.00632,1.01722,5
INCDE-style Euler neural CDE,Eqp increment rel. L2,13.4501,9.83795,15.972,3.7927,19.1083,15.3156,0.93747,27.4401,5
INCDE-style Euler neural CDE,Plastic-work inc. rel. L2,181.949,122.643,239.625,37.3108,268.361,231.051,34.7576,329.691,5
INCDE-style Euler neural CDE,Reversal hist-inc. rel. L2,1.05168,0.0152225,1.04537,1.04485,1.06523,0.0203791,1.03041,1.07257,5
INCDE-style Euler neural CDE,Reversal yield-flag MAE,0.501265,0.00194909,0.501339,0.499999,0.50153,0.00153148,0.498822,0.504633,5
INCDE-style Euler neural CDE,Yield-surface RMS,0.126302,0.0420115,0.141858,0.0872757,0.160181,0.072905,0.0669785,0.175217,5
INCDE-style Euler neural CDE,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
INCDE-style Euler neural CDE,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
INCDE-style Euler neural CDE,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
INCDE-style Euler neural CDE,FEM residual rel. RMS,213.541,89.3815,181.442,175.836,272.548,96.7117,88.6439,349.233,5
INCDE-style Euler neural CDE,FEM energy rel. err.,43161.8,29779.5,28279.9,23863.3,61594.2,37730.9,9947.95,92123.7,5
TINN-style thermo-projected neural CDE,Cyclic disp. rel. L2,197.408,71.7982,204.538,186.357,235.382,49.0254,71.7999,288.964,5
TINN-style thermo-projected neural CDE,Cyclic history rel. L2,0.999934,4.74064e-05,0.999941,0.999896,0.99997,7.35521e-05,0.999867,0.999997,5
TINN-style thermo-projected neural CDE,History-increment rel. L2,1,1.4475e-06,1,1,1,1.84774e-06,1,1,5
TINN-style thermo-projected neural CDE,Eqp increment rel. L2,1,0,1,1,1,0,1,1,5
TINN-style thermo-projected neural CDE,Plastic-work inc. rel. L2,1,0,1,1,1,0,1,1,5
TINN-style thermo-projected neural CDE,Reversal hist-inc. rel. L2,1,1.92537e-06,1,0.999999,1,2.86102e-06,0.999998,1,5
TINN-style thermo-projected neural CDE,Reversal yield-flag MAE,0.538333,0,0.538333,0.538333,0.538333,0,0.538333,0.538333,5
TINN-style thermo-projected neural CDE,Yield-surface RMS,2.20752e-09,1.07289e-10,2.19141e-09,2.12353e-09,2.29609e-09,1.72559e-10,2.0678e-09,2.35876e-09,5
TINN-style thermo-projected neural CDE,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
TINN-style thermo-projected neural CDE,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
TINN-style thermo-projected neural CDE,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
TINN-style thermo-projected neural CDE,FEM residual rel. RMS,213.559,89.3508,181.451,175.947,272.538,96.5904,88.6675,349.191,5
TINN-style thermo-projected neural CDE,FEM energy rel. err.,43158.4,29775.4,28280,23859.8,61592.6,37732.8,9948.58,92111.1,5
