metric,Strict path-OOD,Unload curriculum,Cyclic-seen upper bound
Displacement relative L2,1.0560 +/- 0.1099,1.3023 +/- 0.2982,1.1983 +/- 0.1432
History relative L2,1.3768 +/- 0.1254,1.1044 +/- 0.0728,0.9151 +/- 0.0405
History-increment relative L2,1.0196 +/- 0.0038,1.0115 +/- 0.0020,0.9957 +/- 0.0045
Eq. plastic strain increment relative L2,4.3112 +/- 0.9112,2.5808 +/- 0.6971,1.7755 +/- 0.3670
Plastic-work increment relative L2,11.7911 +/- 1.5767,8.9536 +/- 1.8076,6.5961 +/- 0.8426
Yield-flag MAE,0.5705 +/- 0.0059,0.5643 +/- 0.0083,0.5088 +/- 0.0048
Reversal history-increment relative L2,1.0276 +/- 0.0059,1.0222 +/- 0.0067,0.9897 +/- 0.0080
Reversal yield-flag MAE,0.7030 +/- 0.0331,0.6709 +/- 0.0083,0.5594 +/- 0.0067
Predicted yield-surface relative RMS,0.5913 +/- 0.0322,0.5274 +/- 0.0375,0.3855 +/- 0.0287
Plastic-work lower-bound violation,1.2594 +/- 0.5959,0.3372 +/- 0.3121,0.0756 +/- 0.1001
