Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Non-recurrent GNO sequence,Cyclic disp. rel. L2,21.2716,0,21.2716,21.2716,21.2716,0,21.2716,21.2716,1
Non-recurrent GNO sequence,Cyclic history rel. L2,2.02479,0,2.02479,2.02479,2.02479,0,2.02479,2.02479,1
Non-recurrent GNO sequence,History-increment rel. L2,0.999979,0,0.999979,0.999979,0.999979,0,0.999979,0.999979,1
Non-recurrent GNO sequence,Eqp increment rel. L2,1.00159,0,1.00159,1.00159,1.00159,0,1.00159,1.00159,1
Non-recurrent GNO sequence,Plastic-work inc. rel. L2,0.978307,0,0.978307,0.978307,0.978307,0,0.978307,0.978307,1
Non-recurrent GNO sequence,Reversal hist-inc. rel. L2,0.999741,0,0.999741,0.999741,0.999741,0,0.999741,0.999741,1
Non-recurrent GNO sequence,Reversal yield-flag MAE,0.049896,0,0.049896,0.049896,0.049896,0,0.049896,0.049896,1
Non-recurrent GNO sequence,Yield-surface RMS,0.000557395,0,0.000557395,0.000557395,0.000557395,0,0.000557395,0.000557395,1
Non-recurrent GNO sequence,Plastic-work violation abs.,0,0,0,0,0,0,0,0,1
Non-recurrent GNO sequence,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,1
Non-recurrent GNO sequence,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,1

