Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP plastic-memory corrector HistoryGNO,Cyclic disp. rel. L2,88.3414,0,88.3414,88.3414,88.3414,0,88.3414,88.3414,1
QP plastic-memory corrector HistoryGNO,Cyclic history rel. L2,1.00215,0,1.00215,1.00215,1.00215,0,1.00215,1.00215,1
QP plastic-memory corrector HistoryGNO,History-increment rel. L2,1.00003,0,1.00003,1.00003,1.00003,0,1.00003,1.00003,1
QP plastic-memory corrector HistoryGNO,QP history rel. L2,1.00777,0,1.00777,1.00777,1.00777,0,1.00777,1.00777,1
QP plastic-memory corrector HistoryGNO,QP history-inc. rel. L2,1.00003,0,1.00003,1.00003,1.00003,0,1.00003,1.00003,1
QP plastic-memory corrector HistoryGNO,QP eqp rel. L2,0.998845,0,0.998845,0.998845,0.998845,0,0.998845,0.998845,1
QP plastic-memory corrector HistoryGNO,QP plastic-work rel. L2,0.998928,0,0.998928,0.998928,0.998928,0,0.998928,0.998928,1
QP plastic-memory corrector HistoryGNO,QP von-Mises rel. L2,1.17918,0,1.17918,1.17918,1.17918,0,1.17918,1.17918,1
QP plastic-memory corrector HistoryGNO,Eqp increment rel. L2,0.998675,0,0.998675,0.998675,0.998675,0,0.998675,0.998675,1
QP plastic-memory corrector HistoryGNO,Plastic-work inc. rel. L2,0.998762,0,0.998762,0.998762,0.998762,0,0.998762,0.998762,1
QP plastic-memory corrector HistoryGNO,Reversal hist-inc. rel. L2,0.999825,0,0.999825,0.999825,0.999825,0,0.999825,0.999825,1
QP plastic-memory corrector HistoryGNO,Reversal yield-flag MAE,0.138149,0,0.138149,0.138149,0.138149,0,0.138149,0.138149,1
QP plastic-memory corrector HistoryGNO,Yield-surface RMS,2.47821e-08,0,2.47821e-08,2.47821e-08,2.47821e-08,0,2.47821e-08,2.47821e-08,1
QP plastic-memory corrector HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,1
QP plastic-memory corrector HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,1
QP plastic-memory corrector HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,1
QP plastic-memory corrector HistoryGNO,FEM residual rel. RMS,86.0454,0,86.0454,86.0454,86.0454,0,86.0454,86.0454,1
QP plastic-memory corrector HistoryGNO,FEM energy rel. err.,4400.03,0,4400.03,4400.03,4400.03,0,4400.03,4400.03,1
