seed,load_path,sparse_observation_relative_l2,rollout_displacement_relative_l2,material_parameter_relative_l2,material_parameter_mae,material_parameter_coverage_95,material_parameter_ece,material_parameter_posterior_std,history_relative_l2,history_final_relative_l2,history_coverage_95,history_ece,history_posterior_std,field_coverage_95,field_ece,field_crps,field_sharpness,field_interval_width_95,inversion_final_loss
20260517,cyclic,0.8291270435,0.8430503309,0.1685665026,2.927412748,0,0.7874999642,0.1685745865,0.9951220453,0.8878132403,0.118554689,0.6689453125,4.310931763e-05,0.0006510416861,0.7868489325,0.01588716824,3.863888924e-05,9.187037358e-05,363.3861542
20260518,cyclic,1.206790388,1.078213066,0.1295271795,2.742323339,0.08333333582,0.724999994,0.212259531,0.9954605997,0.8407549262,0.1193359382,0.6682617366,0.000146916489,0.003906250175,0.783593744,0.02023865934,4.327925762e-05,9.564441825e-05,596.1335449
20260519,cyclic,0.8515508175,0.8210800588,0.15177311,2.652375996,0.08333333582,0.724999994,0.1092254035,0.8571482301,3.706531405,0.06367187575,0.7239745557,0.001300335687,0.001953125058,0.7861979008,0.01614333782,4.70720297e-05,0.0001105857882,244.8968048
20260520,cyclic,0.847537756,0.894761771,0.07182487659,1.455130219,0.1666666716,0.6208333373,0.09988742322,0.8341926336,5.504940748,0.0347656263,0.7532226443,0.003346685204,0.005208333663,0.7834309936,0.01774366107,6.291464524e-05,0.0001621333286,407.444397
20260521,cyclic,0.812099874,0.8183777928,0.1755272634,3.043225706,0.08333333582,0.7041666508,0.1228693053,1.051523447,9.06275177,0.009570312512,0.7785644531,0.002284685208,0.001953125058,0.7860351205,0.01569831697,3.840894351e-05,9.092722576e-05,439.0362244
20260517,nonproportional,0.829975903,0.8535374105,0.08075013198,1.587118268,0.08333333582,0.724999994,0.139796555,0.9932782352,0.9874504209,0.09140624851,0.6962402165,5.35719646e-05,0.00390625,0.7845702767,0.02291076351,5.537370453e-05,0.0001380523245,659.7615814
20260518,nonproportional,1.225062549,1.216812432,0.1726633981,3.493277788,0.1666666716,0.6416666359,0.2253140435,0.9948540032,0.9850598872,0.09140624851,0.6961914003,0.0001595819886,0.00390625,0.784733057,0.03489041887,4.698818339e-05,0.0001179338069,2681.403442
20260519,nonproportional,0.9741233289,0.9945798218,0.0493015293,1.003981054,0.08333333582,0.766666621,0.2692487463,0.6800133884,1.256722331,0.05722656287,0.7308105528,0.00319552084,0.003906250116,0.7842447758,0.0276435148,0.0001584721322,0.0003690673766,1423.071075
20260520,nonproportional,0.8899986446,0.8170701861,0.06709262915,1.396198839,0.08333333582,0.724999994,0.2316779047,0.650798738,1.236176491,0.04433593713,0.7447265685,0.005706819473,0.003906250116,0.7837564945,0.02268395387,0.000124503742,0.0003055005654,562.8915634
20260521,nonproportional,1.066718459,0.9850456417,0.06452720053,1.394722655,0,0.7874999642,0.04514373839,0.8896408379,2.101083636,0.001367187549,0.7861328125,0.0005294058938,0.001302083372,0.7863606513,0.02680246718,1.889771829e-05,4.800549323e-05,482.3586731
20260517,pre_stress,0.8638154268,0.8882787526,0.03666983638,0.9281228185,0,0.7874999642,0.3114895523,0.9963792562,0.9958131313,0.06805555709,0.7195932567,0.000100167792,0.005208333663,0.7829427123,0.01858840417,8.441299542e-05,0.0001986252755,1554.222321
