seed,load_path,sparse_observation_relative_l2,rollout_displacement_relative_l2,material_parameter_relative_l2,material_parameter_mae,material_parameter_coverage_95,material_parameter_ece,material_parameter_posterior_std,calibrated_material_parameter_coverage_95,calibrated_material_parameter_ece,calibrated_material_parameter_spread_scale,calibrated_material_parameter_posterior_std,history_relative_l2,history_final_relative_l2,history_coverage_95,history_ece,history_posterior_std,calibrated_history_coverage_95,calibrated_history_ece,calibrated_history_spread_scale,calibrated_history_posterior_std,field_coverage_95,field_ece,field_crps,field_sharpness,field_interval_width_95,calibrated_field_coverage_95,calibrated_field_ece,calibrated_field_crps,calibrated_field_sharpness,calibrated_field_interval_width_95,calibrated_field_spread_scale,inversion_final_loss
20260517,cyclic,0.8291118443,0.8430402875,0.1685665194,2.927414179,0,0.7874999642,0.1685734093,1,0.07083332539,23.66208267,3.905678988,0.995120734,0.8878032863,0.118554689,0.6689453125,4.423803512e-05,0.9753906429,0.1451172158,8.982610703,0.7845851779,0.0006510416861,0.7868489325,0.01588681899,3.86532156e-05,9.19043232e-05,0.9505208731,0.1394206062,0.02973028459,0.07087633014,0.1665583998,1855.294128,363.3726349
20260518,cyclic,1.155454695,1.03573969,0.1295685582,2.742773265,0.08333333582,0.7041666508,0.212392129,1,0.07916666567,24.52700043,4.992203951,0.9953910112,0.8396831155,0.1191406287,0.668408215,0.0001474560777,1,0.1512695551,8.980712891,0.7845852971,0,0.7874999642,0.01964016445,4.306492156e-05,9.517246872e-05,0.9505208731,0.1389323175,0.03590928949,0.07623988762,0.1694403142,2090.342957,542.22052
20260519,cyclic,0.8515832424,0.8210913241,0.1517740153,2.652391255,0.08333333582,0.724999994,0.109223064,1,0.07916666567,34.58791447,3.808265686,0.8571784496,3.709687114,0.06406250037,0.7236816287,0.00129310257,0.9499999881,0.1289062649,5.535922289,0.5057048053,0.001953125058,0.7861979008,0.01614357345,4.706076652e-05,0.000110554065,0.9505208731,0.1099609733,0.02297636587,0.05650299974,0.1328304857,1198.766724,244.9168243
20260520,cyclic,0.8475010097,0.8947310448,0.07111075334,1.440175354,0.1666666716,0.6208333373,0.099480398,1,0.07916666567,18.82620811,1.783225775,0.8350842595,5.511159658,0.03457031306,0.7537109554,0.003319150186,0.9499999881,0.1235839874,4509.541497,9.303061962,0.007161458663,0.7822916508,0.01774232276,6.237981688e-05,0.0001607928862,0.9505208731,0.12037763,0.02525688335,0.0840526931,0.216898948,1392.054993,407.4362335
20260521,cyclic,0.8120935559,0.8183742762,0.1755297557,3.043275237,0.08333333582,0.7041666508,0.1228789836,1,0.05833332986,37.75367546,3.426537871,1.051531434,9.062673092,0.009765624825,0.7784667611,0.002282202506,0.9499999881,0.1332031339,6.975433826,0.7434642613,0.001302083372,0.7861979008,0.01569817774,3.842111755e-05,9.095204587e-05,0.9505208731,0.1213541925,0.02297277935,0.06180852279,0.1472245455,2172.101257,439.0368958
20260517,nonproportional,0.8299794197,0.8535428047,0.08076798916,1.587483525,0.08333333582,0.724999994,0.1396742687,1,0.112499997,47.20537472,8.171756029,0.9932767451,0.9874439538,0.09140624851,0.6962402165,5.435880121e-05,1,0.1349609345,6.420063019,0.7845852375,0.00390625,0.7845702767,0.02291082032,5.533448893e-05,0.0001379725072,0.9505208731,0.1233073249,0.03851082548,0.1083340272,0.2701070458,1957.81427,659.7721024
20260518,nonproportional,1.196747482,1.191249907,0.1726306453,3.492657423,0.1666666716,0.6416666359,0.225360401,1,0.1958333254,19.83824849,3.821656227,0.9947761297,0.9849561453,0.09160156175,0.6959472597,0.0001600865653,1,0.1349609345,6.376112461,0.7845853865,0.001302083372,0.7861979008,0.03414268047,4.678902224e-05,0.0001174384415,0.9505208731,0.09222008288,0.04506355524,0.111645069,0.2762611061,2672.465698,2560.229614
20260519,nonproportional,0.9741457999,0.9945975244,0.04930143245,1.003979146,0.08333333582,0.766666621,0.2692444772,1,0.1208333299,65.50293636,18.88410926,0.68013677,1.257317364,0.05644531362,0.7313964665,0.00318770844,0.9499999881,0.1174316555,4.435153008,0.419159025,0.003906250116,0.7842447758,0.0276441453,0.0001584389684,0.0003689885489,0.9505208731,0.08945316076,0.04128738493,0.1041615456,0.2423107922,654.2528076,1423.133087
20260520,nonproportional,0.8898743987,0.8170871735,0.06707005203,1.395737916,0.08333333582,0.724999994,0.2318575531,1,0.112499997,34.93607521,8.095762968,0.6509997249,1.234940827,0.04492187779,0.7443359196,0.005841043196,0.9505859315,0.1354003996,4723.710768,42.05191474,0.004557291744,0.7835937142,0.02268285584,0.0001245817839,0.00030564997,0.9505208731,0.1267252937,0.04454018548,0.1168927625,0.28731291,1056.625824,562.8800049
20260521,nonproportional,1.066684723,0.9850357771,0.06454320438,1.395037293,0,0.7874999642,0.04516541027,1,0.07916666567,60.19001389,2.567850947,0.8896419704,2.101083875,0.001367187549,0.7861328125,0.0005290073459,0.9499999881,0.136328131,7.371073723,0.7813734114,0.001302083372,0.7863606513,0.02680199035,1.889599844e-05,4.799620365e-05,0.9505208731,0.1255859658,0.04420459457,0.1315523647,0.3343040794,6943.87085,482.3311615
20260517,pre_stress,0.8638089895,0.8882699013,0.03667016234,0.9281322956,0,0.7874999642,0.3114973456,1,0.1208333373,35.77821732,11.43966436,0.996378094,0.9958109558,0.06805555709,0.7196428478,0.000100160094,1,0.1288690418,6.028341293,0.7845853865,0.005208333663,0.7829427123,0.01858799253,8.442143007e-05,0.0001986436546,0.9505208731,0.1286784187,0.03393239481,0.0935321711,0.2202844471,1380.50824,1554.2052
20260518,pre_stress,0.9622103274,0.9888612032,0.1324773096,2.821223825,0,0.7874999642,0.1130372658,1,0.1000000015,41.09654617,3.728199482,0.9971084893,0.9958774745,0.06686508097,0.7206845284,5.025060636e-05,1,0.1288194433,6.008786917,0.7845852375,0,0.7874999642,0.02089164127,1.044158535e-05,2.518984184e-05,0.9505208731,0.1366536766,0.02560978383,0.06174090877,0.1536167711,1571.650195,1493.276947
20260519,pre_stress,1.427502424,0.8783181906,0.1175943725,2.5526613,0,0.7874999642,0.1612352058,1,0.07916666567,237.9096851,6.497736454,0.8240500093,0.6446963549,0.01964285783,0.7688987851,0.002003384405,0.9499999881,0.1281746104,5.841675043,0.6754516363,0.001953125,0.7857095897,0.0190292066,0.0001002415811,0.0002541915674,0.9505208731,0.1215169579,0.07089208625,0.1828935705,0.4477142021,3681.022842,924.3504639
20260520,pre_stress,1.163413376,0.9594207406,0.217162624,4.665957928,0.1666666716,0.6416666359,0.1626251042,1,0.09999999776,38.64307785,5.642682791,0.7475807071,0.5150322765,0.01150793675,0.7766368687,0.00277260947,0.9499999881,0.1452877074,6.57006979,0.6626280546,0.002604166686,0.7857096195,0.02135736821,0.0001060561262,0.0002552138976,0.9505208731,0.1449544579,0.04722056538,0.124819316,0.2990407646,1144.577881,356.0069199
20260521,pre_stress,0.8075636029,0.8462494314,0.03532929625,0.7986061424,0.08333333582,0.7041666508,0.1732626334,1,0.05833332986,23.4209156,4.011001945,0.5541628003,0.2434226274,0.02896825504,0.7595237792,0.002200362971,0.9499999881,0.1390377209,2247.317843,5.140957355,0.001302083372,0.7865234613,0.01846026909,4.865588198e-05,0.0001156242834,0.9505208731,0.08001305908,0.02423919085,0.05583834834,0.1325210556,1161.577301,868.6757965
20260517,random_amplitude,0.8609717488,0.8506770134,0.03824373521,0.8072474301,0,0.7874999642,0.0995573625,1,0.05833332986,27.50374746,2.757646024,0.9946140647,0.9954551756,0.09435483441,0.6931451559,3.550449946e-05,1,0.1354334578,6.549681425,0.7845851779,0.001302083372,0.7863606811,0.02376449853,2.424042032e-05,5.898925156e-05,0.9505208731,0.1226562709,0.0471510943,0.1249478012,0.3032948673,5267.845703,1978.84491
