Evidence tier,Protocol,Train paths,Eval path,Path OOD,Sparse config,Sensors,Observed steps,Seeds,Epochs,Train samples,Eval samples,Posterior chains,Inversion steps,Calibration mode,Source summary,Target,Metric,Direction,Raw mean,Calibrated mean,Gain,Gain %,Raw,Calibrated,Improved
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",cyclic,no,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,material_parameter,coverage_95,higher,0.0833333,1,0.916667,1100,"0.08333 +/- 0.059; med 0.08333, IQR 0","1 +/- 0; med 1, IQR 0",yes
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",cyclic,no,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,material_parameter,ece,lower,0.708333,0.0733333,0.635,89.6471,"0.7083 +/- 0.06; med 0.7042, IQR 0.021","0.07333 +/- 0.0091; med 0.07917, IQR 0.0083",yes
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",cyclic,no,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,history,coverage_95,higher,0.0692188,0.965078,0.895859,1294.24,"0.06922 +/- 0.049; med 0.06406, IQR 0.084","0.9651 +/- 0.022; med 0.95, IQR 0.025",yes
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",cyclic,no,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,history,ece,lower,0.718643,0.136416,0.582227,81.0175,"0.7186 +/- 0.05; med 0.7237, IQR 0.085","0.1364 +/- 0.011; med 0.1332, IQR 0.016",yes
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",cyclic,no,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,field,coverage_95,higher,0.00221354,0.950521,0.948307,42841.2,"0.002214 +/- 0.0029; med 0.001302, IQR 0.0013","0.9505 +/- 0; med 0.9505, IQR 0",yes
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",cyclic,no,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,field,ece,lower,0.785807,0.126009,0.659798,83.9644,"0.7858 +/- 0.002; med 0.7862, IQR 0.00065","0.126 +/- 0.013; med 0.1214, IQR 0.019",yes
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",cyclic,no,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,field,crps,lower,0.0170222,0.0273691,-0.0103469,-60.7848,"0.01702 +/- 0.0017; med 0.01614, IQR 0.0019","0.02737 +/- 0.0055; med 0.02526, IQR 0.0068",no
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",nonproportional,yes,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,material_parameter,coverage_95,higher,0.0833333,1,0.916667,1100,"0.08333 +/- 0.059; med 0.08333, IQR 0","1 +/- 0; med 1, IQR 0",yes
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",nonproportional,yes,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,material_parameter,ece,lower,0.729167,0.124167,0.605,82.9714,"0.7292 +/- 0.056; med 0.725, IQR 0.042","0.1242 +/- 0.043; med 0.1125, IQR 0.0083",yes
expedited_5seed_2sample_current_main; full_9condition_formal_running,expedited_reversal_curriculum_2sample,"monotonic,unload_reload,cyclic",nonproportional,yes,s6_t3,6,3,5,50,32,2,4,30,split_conformal,<project-root>\10_results\reports\j2_sparse_dt_assimilation_5seed_calibrated_2sample_summary.json,history,coverage_95,higher,0.0571484,0.970117,0.912969,1597.54,"0.05715 +/- 0.037; med 0.05645, IQR 0.046","0.9701 +/- 0.027; med 0.9506, IQR 0.05",yes
