Case,Family,Nodes,Elements,Steps,Seeds,Source,Displacement rel. L2,History rel. L2,QP history rel. L2,QP history-inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation target-norm.,FEM residual rel. RMS,FEM energy rel. err.
curved_hole_14x11,curved_hole,532--533,236--237,8,5,level4_t6_qp_allstep_12case_curved_hole_14x11,64.23 +/- 15.86,1.07 +/- 0.007006,1.758 +/- 0.009945,0.9988 +/- 0.001619,1.001 +/- 0.001407,0.4106 +/- 0.001128,2.014e-05 +/- 1.664e-05,0 +/- 0,123.4 +/- 92.24,7540 +/- 9856
curved_hole_16x12,curved_hole,665--668,299--300,8,5,level4_t6_qp_allstep_12case_curved_hole_16x12,169.1 +/- 37.11,1.011 +/- 0.1281,1.812 +/- 0.1411,1 +/- 3.761e-05,0.9999 +/- 2.551e-05,0.444 +/- 0.04073,0.03411 +/- 0.06821,0 +/- 0,167.8 +/- 146.8,1.87e+04 +/- 2.842e+04
curved_hole_18x14,curved_hole,880--881,400--401,8,5,level4_t6_qp_allstep_12case_curved_hole_18x14,56.61 +/- 22.38,1.289 +/- 0.1594,2.003 +/- 0.157,1 +/- 0.0001445,1 +/- 5.513e-05,0.5479 +/- 0.01474,0.03317 +/- 0.06633,0 +/- 0,99.5 +/- 76.93,2383 +/- 3071
curved_hole_20x15,curved_hole,1055--1059,483--485,8,5,level4_t6_qp_allstep_12case_curved_hole_20x15,49.87 +/- 22.85,0.9571 +/- 0.1234,1.706 +/- 0.1456,1.046 +/- 0.09225,1 +/- 0.0004418,0.4555 +/- 0.01981,0.059 +/- 0.07587,0 +/- 0,53.78 +/- 26.3,2308 +/- 1767
multi_hole_14x11,multi_hole,530--532,231--233,8,5,level4_t6_qp_allstep_12case_multi_hole_14x11,75.09 +/- 20.24,1.171 +/- 0.00707,1.943 +/- 0.01266,0.9998 +/- 0.0005032,1.001 +/- 0.001164,0.4564 +/- 0.000497,1.514e-05 +/- 1.41e-05,0 +/- 0,82.11 +/- 66.31,5234 +/- 7658
multi_hole_16x12,multi_hole,672--674,299--299,8,5,level4_t6_qp_allstep_12case_multi_hole_16x12,40.29 +/- 12.16,0.9499 +/- 0.0001248,1.648 +/- 0.0001175,1 +/- 2.744e-05,1 +/- 3.615e-05,0.3579 +/- 8.467e-06,1.309e-07 +/- 1.39e-07,0 +/- 0,55.85 +/- 21.77,2208 +/- 1721
multi_hole_18x14,multi_hole,885--887,400--400,8,5,level4_t6_qp_allstep_12case_multi_hole_18x14,76.11 +/- 34.72,1.071 +/- 0.1232,1.797 +/- 0.1535,0.9998 +/- 0.001036,1 +/- 0.0003364,0.4669 +/- 0.01015,0.03342 +/- 0.06683,0 +/- 0,61.36 +/- 50.7,5750 +/- 8258
multi_hole_20x15,multi_hole,1048--1056,477--481,8,5,level4_t6_qp_allstep_12case_multi_hole_20x15,54.37 +/- 25.6,1.581 +/- 0.1559,2.475 +/- 0.1445,1.046 +/- 0.09185,0.9795 +/- 0.04121,0.7304 +/- 0.07063,0.01942 +/- 0.03883,0 +/- 0,113.7 +/- 87.57,5993 +/- 6402
notch_14x11,notch,543--545,244--246,8,5,level4_t6_qp_allstep_12case_notch_14x11,55.62 +/- 21.67,1.428 +/- 0.003901,2.298 +/- 0.006416,1 +/- 0.0001464,0.9998 +/- 0.0006301,0.7306 +/- 0.0005847,3.953e-06 +/- 7.724e-06,0 +/- 0,73.54 +/- 63.36,4774 +/- 5944
notch_16x12,notch,673--673,306--306,8,5,level4_t6_qp_allstep_12case_notch_16x12,75.49 +/- 19.81,2.202 +/- 0.01274,3.386 +/- 0.01801,1 +/- 0.0004746,0.9997 +/- 0.0009489,0.8623 +/- 0.002856,9.537e-06 +/- 1.483e-05,0 +/- 0,172.3 +/- 113.8,1.469e+04 +/- 1.56e+04
notch_18x14,notch,895--895,412--412,8,5,level4_t6_qp_allstep_12case_notch_18x14,69.2 +/- 31.38,1.457 +/- 0.1625,2.352 +/- 0.1697,1.037 +/- 0.07277,1 +/- 9.16e-05,0.7279 +/- 0.07012,0.02972 +/- 0.05944,0 +/- 0,78.45 +/- 42.06,3866 +/- 4536
notch_20x15,notch,1063--1064,492--493,8,5,level4_t6_qp_allstep_12case_notch_20x15,119.2 +/- 32.1,1.854 +/- 0.05681,2.797 +/- 0.07647,0.9992 +/- 0.001761,0.9932 +/- 0.01215,0.8165 +/- 0.02169,3.01e-05 +/- 3.534e-05,0 +/- 0,192.8 +/- 131.8,1.601e+04 +/- 1.965e+04
