Case,Model,Load path,Metric,Reference protocol,Candidate protocol,Reference mean,Candidate mean,Mean drop,Mean drop %,Mean improved,Reference median,Candidate median,Median drop,Median drop %,Median improved
curved_hole_14x11,hgo_qp_thermo_hard,cyclic,qp_history_increment_relative_l2,strict,curriculum,0.998795,0.999318,-0.000523,-0.052,no,0.999931,0.999885,4.6e-05,0.005,yes
curved_hole_14x11,hgo_qp_thermo_hard,cyclic,qp_history_increment_relative_l2,strict,upper_bound,0.998795,0.999948,-0.001153,-0.115,no,0.999931,0.999905,2.6e-05,0.003,yes
curved_hole_14x11,hgo_qp_thermo_hard,cyclic,qp_history_relative_l2,strict,curriculum,1.75812,1.75851,-0.00039,-0.022,no,1.75589,1.76574,-0.00985,-0.561,no
curved_hole_14x11,hgo_qp_thermo_hard,cyclic,qp_history_relative_l2,strict,upper_bound,1.75812,1.76514,-0.00702,-0.399,no,1.75589,1.76813,-0.01224,-0.697,no
curved_hole_14x11,hgo_qp_thermo_hard,nonproportional,qp_history_increment_relative_l2,strict,curriculum,1.00296,1.00316,-0.0002,-0.020,no,1.00239,1.00056,0.00183,0.183,yes
curved_hole_14x11,hgo_qp_thermo_hard,nonproportional,qp_history_increment_relative_l2,strict,upper_bound,1.00296,1.00068,0.00228,0.227,yes,1.00239,1.00011,0.00228,0.227,yes
curved_hole_14x11,hgo_qp_thermo_hard,nonproportional,qp_history_relative_l2,strict,curriculum,1.59216,1.59244,-0.00028,-0.018,no,1.5889,1.59823,-0.00933,-0.587,no
curved_hole_14x11,hgo_qp_thermo_hard,nonproportional,qp_history_relative_l2,strict,upper_bound,1.59216,1.5975,-0.00534,-0.335,no,1.5889,1.60024,-0.01134,-0.714,no
curved_hole_14x11,hgo_qp_thermo_hard,unload_reload,qp_history_increment_relative_l2,strict,curriculum,1.00244,1.00248,-4e-05,-0.004,no,1.00101,1.00065,0.00036,0.036,yes
curved_hole_14x11,hgo_qp_thermo_hard,unload_reload,qp_history_increment_relative_l2,strict,upper_bound,1.00244,1.00036,0.00208,0.207,yes,1.00101,1.00008,0.00093,0.093,yes
curved_hole_14x11,hgo_qp_thermo_hard,unload_reload,qp_history_relative_l2,strict,curriculum,1.91375,1.91405,-0.0003,-0.016,no,1.91079,1.92134,-0.01055,-0.552,no
curved_hole_14x11,hgo_qp_thermo_hard,unload_reload,qp_history_relative_l2,strict,upper_bound,1.91375,1.92061,-0.00686,-0.358,no,1.91079,1.92379,-0.013,-0.680,no
curved_hole_16x12,hgo_qp_thermo_hard,cyclic,qp_history_increment_relative_l2,strict,curriculum,1.00008,1.0594,-0.05932,-5.932,no,1.00008,1.00007,1e-05,0.001,yes
curved_hole_16x12,hgo_qp_thermo_hard,cyclic,qp_history_increment_relative_l2,strict,upper_bound,1.00008,1.02483,-0.02475,-2.475,no,1.00008,1.00007,1e-05,0.001,yes
curved_hole_16x12,hgo_qp_thermo_hard,cyclic,qp_history_relative_l2,strict,curriculum,1.81203,1.77685,0.03518,1.941,yes,1.88255,1.88232,0.00023,0.012,yes
curved_hole_16x12,hgo_qp_thermo_hard,cyclic,qp_history_relative_l2,strict,upper_bound,1.81203,1.77127,0.04076,2.249,yes,1.88255,1.87851,0.00404,0.215,yes
curved_hole_16x12,hgo_qp_thermo_hard,nonproportional,qp_history_increment_relative_l2,strict,curriculum,1.00004,1.17381,-0.17377,-17.376,no,0.999982,1.00001,-2.8e-05,-0.003,no
curved_hole_16x12,hgo_qp_thermo_hard,nonproportional,qp_history_increment_relative_l2,strict,upper_bound,1.00004,1.09565,-0.09561,-9.561,no,0.999982,1.00069,-0.000708,-0.071,no
curved_hole_16x12,hgo_qp_thermo_hard,nonproportional,qp_history_relative_l2,strict,curriculum,1.65937,1.62062,0.03875,2.335,yes,1.70932,1.70914,0.00018,0.011,yes
curved_hole_16x12,hgo_qp_thermo_hard,nonproportional,qp_history_relative_l2,strict,upper_bound,1.65937,1.61089,0.04848,2.922,yes,1.70932,1.70582,0.0035,0.205,yes
curved_hole_16x12,hgo_qp_thermo_hard,unload_reload,qp_history_increment_relative_l2,strict,curriculum,1.00001,1.13645,-0.13644,-13.644,no,0.999944,0.999979,-3.5e-05,-0.004,no
curved_hole_16x12,hgo_qp_thermo_hard,unload_reload,qp_history_increment_relative_l2,strict,upper_bound,1.00001,1.07509,-0.07508,-7.508,no,0.999944,1.00092,-0.000976,-0.098,no
curved_hole_16x12,hgo_qp_thermo_hard,unload_reload,qp_history_relative_l2,strict,curriculum,1.88065,1.84503,0.03562,1.894,yes,1.95793,1.95773,0.0002,0.010,yes
curved_hole_16x12,hgo_qp_thermo_hard,unload_reload,qp_history_relative_l2,strict,upper_bound,1.88065,1.84118,0.03947,2.099,yes,1.95793,1.95408,0.00385,0.197,yes
curved_hole_18x14,hgo_qp_thermo_hard,cyclic,qp_history_increment_relative_l2,strict,curriculum,1.00016,1.02099,-0.02083,-2.083,no,1.00012,1.00015,-3e-05,-0.003,no
