Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP plastic-memory corrector HistoryGNO,Cyclic disp. rel. L2,88.3415,0,88.3415,88.3415,88.3415,0,88.3415,88.3415,1
QP plastic-memory corrector HistoryGNO,Cyclic history rel. L2,1.00215,0,1.00215,1.00215,1.00215,0,1.00215,1.00215,1
QP plastic-memory corrector HistoryGNO,History-increment rel. L2,1.00003,0,1.00003,1.00003,1.00003,0,1.00003,1.00003,1
QP plastic-memory corrector HistoryGNO,QP history rel. L2,1.00777,0,1.00777,1.00777,1.00777,0,1.00777,1.00777,1
QP plastic-memory corrector HistoryGNO,QP history-inc. rel. L2,1.00003,0,1.00003,1.00003,1.00003,0,1.00003,1.00003,1
QP plastic-memory corrector HistoryGNO,QP eqp rel. L2,0.998474,0,0.998474,0.998474,0.998474,0,0.998474,0.998474,1
QP plastic-memory corrector HistoryGNO,QP plastic-work rel. L2,0.998584,0,0.998584,0.998584,0.998584,0,0.998584,0.998584,1
QP plastic-memory corrector HistoryGNO,QP von-Mises rel. L2,1.17919,0,1.17919,1.17919,1.17919,0,1.17919,1.17919,1
QP plastic-memory corrector HistoryGNO,QP reversal scalar-inc. rel. L2,0.999823,0,0.999823,0.999823,0.999823,0,0.999823,0.999823,1
QP plastic-memory corrector HistoryGNO,QP reversal eqp-inc. rel. L2,0.999356,0,0.999356,0.999356,0.999356,0,0.999356,0.999356,1
QP plastic-memory corrector HistoryGNO,QP reversal work-inc. rel. L2,0.99942,0,0.99942,0.99942,0.99942,0,0.99942,0.99942,1
QP plastic-memory corrector HistoryGNO,QP reversal yield MAE,0.412859,0,0.412859,0.412859,0.412859,0,0.412859,0.412859,1
QP plastic-memory corrector HistoryGNO,QP inactive false plasticity,0.00142499,0,0.00142499,0.00142499,0.00142499,0,0.00142499,0.00142499,1
QP plastic-memory corrector HistoryGNO,Eqp increment rel. L2,0.998251,0,0.998251,0.998251,0.998251,0,0.998251,0.998251,1
QP plastic-memory corrector HistoryGNO,Plastic-work inc. rel. L2,0.998366,0,0.998366,0.998366,0.998366,0,0.998366,0.998366,1
QP plastic-memory corrector HistoryGNO,Reversal hist-inc. rel. L2,0.999825,0,0.999825,0.999825,0.999825,0,0.999825,0.999825,1
QP plastic-memory corrector HistoryGNO,Reversal yield-flag MAE,0.138149,0,0.138149,0.138149,0.138149,0,0.138149,0.138149,1
QP plastic-memory corrector HistoryGNO,Yield-surface RMS,3.2932e-08,0,3.2932e-08,3.2932e-08,3.2932e-08,0,3.2932e-08,3.2932e-08,1
QP plastic-memory corrector HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,1
QP plastic-memory corrector HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,1
QP plastic-memory corrector HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,1
QP plastic-memory corrector HistoryGNO,FEM residual rel. RMS,86.041,0,86.041,86.041,86.041,0,86.041,86.041,1
