Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-aware active-zone thermo-hard HistoryGNO,Cyclic disp. rel. L2,95.8955,46.8229,75.3247,65.8053,115.668,49.8624,45.1384,177.542,5
QP-aware active-zone thermo-hard HistoryGNO,Cyclic history rel. L2,1.24707,0.478657,0.999892,0.998842,1.04167,0.0428303,0.991218,2.20373,5
QP-aware active-zone thermo-hard HistoryGNO,History-increment rel. L2,1.02686,0.0537127,1.00001,1,1.00008,8.32081e-05,0.999915,1.13428,5
QP-aware active-zone thermo-hard HistoryGNO,QP history rel. L2,1.51407,0.940566,0.999775,0.997548,1.20376,0.206207,0.981207,3.38805,5
QP-aware active-zone thermo-hard HistoryGNO,QP history-inc. rel. L2,1.04516,0.0902664,1.00001,1,1.00017,0.000171781,0.999938,1.2257,5
QP-aware active-zone thermo-hard HistoryGNO,QP eqp rel. L2,2.16992,2.34217,1,1,1,0,0.995362,6.85426,5
QP-aware active-zone thermo-hard HistoryGNO,QP plastic-work rel. L2,2.14634,2.29484,1,1,1,0,0.995683,6.73603,5
QP-aware active-zone thermo-hard HistoryGNO,QP von-Mises rel. L2,0.939259,0.231693,0.952947,0.922974,0.995768,0.0727943,0.54946,1.27515,5
QP-aware active-zone thermo-hard HistoryGNO,Eqp increment rel. L2,1.80988,1.61977,1,1,1,0,1,5.04942,5
QP-aware active-zone thermo-hard HistoryGNO,Plastic-work inc. rel. L2,1.80912,1.61823,1,1,1,0,1,5.04558,5
QP-aware active-zone thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0.988727,0.0223288,0.999851,0.999743,0.999974,0.000231147,0.94407,0.999998,5
QP-aware active-zone thermo-hard HistoryGNO,Reversal yield-flag MAE,0.285999,0.288686,0.136168,0.136166,0.158383,0.0222175,0.136166,0.863115,5
QP-aware active-zone thermo-hard HistoryGNO,Yield-surface RMS,0.00104984,0.00208687,1.053e-05,3.68352e-09,1.51179e-05,1.51142e-05,2.16875e-09,0.00522356,5
QP-aware active-zone thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-aware active-zone thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-aware active-zone thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-aware active-zone thermo-hard HistoryGNO,FEM residual rel. RMS,83.0567,25.8953,85.8479,79.2254,91.9996,12.7741,38.9858,119.225,5
QP-aware active-zone thermo-hard HistoryGNO,FEM energy rel. err.,3079.07,1980.77,2370.73,2291.57,3617.42,1325.84,578.966,6536.67,5
