Model,Metric,Rule,Lower,Upper,Outlier count,Outlier seeds,Mean,Std,Median,IQR,Min,Max
QP-aware thermo-hard HistoryGNO,Cyclic history rel. L2,1.5*IQR,0.67441,1.53991,1,20260520=2.20035,1.28111,0.467375,0.999938,0.216374,0.990932,2.20035
QP-aware thermo-hard HistoryGNO,History-increment rel. L2,1.5*IQR,0.999389,1.00102,2,20260519=1.39335; 20260520=0.998822,1.07852,0.157417,1.00001,0.000407696,0.998822,1.39335
QP-aware thermo-hard HistoryGNO,QP history rel. L2,1.5*IQR,0.240283,2.26033,1,20260520=3.38271,1.57287,0.926235,0.999871,0.505012,0.981173,3.38271
QP-aware thermo-hard HistoryGNO,QP history-inc. rel. L2,1.5*IQR,0.999126,1.00146,1,20260519=1.65573,1.1311,0.262314,1.00003,0.000583053,0.999148,1.65573
QP-aware thermo-hard HistoryGNO,QP eqp rel. L2,1.5*IQR,0.983295,1.02784,1,20260520=8.05032,2.41229,2.81902,1,0.0111368,1,8.05032
QP-aware thermo-hard HistoryGNO,QP plastic-work rel. L2,1.5*IQR,0.987054,1.02158,1,20260520=7.95382,2.39249,2.78067,1,0.00863087,1,7.95382
QP-aware thermo-hard HistoryGNO,QP von-Mises rel. L2,1.5*IQR,0.516661,1.28612,1,20260520=1.28998,0.921239,0.240969,0.957892,0.192364,0.555548,1.28998
QP-aware thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,1.5*IQR,0.999018,1.00059,1,20260519=0.995838,0.99909,0.00163379,0.999969,0.000392377,0.995838,1.00004
QP-aware thermo-hard HistoryGNO,Reversal yield-flag MAE,1.5*IQR,0.131016,0.144749,1,20260520=0.862937,0.282209,0.290367,0.136179,0.0034332,0.136166,0.862937
QP-aware thermo-hard HistoryGNO,Yield-surface RMS,1.5*IQR,-0.000355978,0.000593307,1,20260519=0.00131323,0.00031433,0.000507408,2.10947e-05,0.000237321,2.12212e-09,0.00131323
