Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-aware thermo-hard HistoryGNO,Cyclic disp. rel. L2,85.367,18.9961,90.7779,78.6739,96.5141,17.8403,52.5305,108.338,5
QP-aware thermo-hard HistoryGNO,Cyclic history rel. L2,1.28111,0.467375,0.999938,0.998971,1.21534,0.216374,0.990932,2.20035,5
QP-aware thermo-hard HistoryGNO,History-increment rel. L2,1.07852,0.157417,1.00001,1,1.00041,0.000407696,0.998822,1.39335,5
QP-aware thermo-hard HistoryGNO,QP history rel. L2,1.57287,0.926235,0.999871,0.997801,1.50281,0.505012,0.981173,3.38271,5
QP-aware thermo-hard HistoryGNO,QP history-inc. rel. L2,1.1311,0.262314,1.00003,1,1.00058,0.000583053,0.999148,1.65573,5
QP-aware thermo-hard HistoryGNO,QP eqp rel. L2,2.41229,2.81902,1,1,1.01114,0.0111368,1,8.05032,5
QP-aware thermo-hard HistoryGNO,QP plastic-work rel. L2,2.39249,2.78067,1,1,1.00863,0.00863087,1,7.95382,5
QP-aware thermo-hard HistoryGNO,QP von-Mises rel. L2,0.921239,0.240969,0.957892,0.805207,0.99757,0.192364,0.555548,1.28998,5
QP-aware thermo-hard HistoryGNO,Eqp increment rel. L2,2.08806,2.17611,1,1,1,0,1,6.44029,5
QP-aware thermo-hard HistoryGNO,Plastic-work inc. rel. L2,2.09019,2.18038,1,1,1,0,1,6.45095,5
QP-aware thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0.99909,0.00163379,0.999969,0.999607,0.999999,0.000392377,0.995838,1.00004,5
QP-aware thermo-hard HistoryGNO,Reversal yield-flag MAE,0.282209,0.290367,0.136179,0.136166,0.139599,0.0034332,0.136166,0.862937,5
QP-aware thermo-hard HistoryGNO,Yield-surface RMS,0.00031433,0.000507408,2.10947e-05,3.51401e-09,0.000237325,0.000237321,2.12212e-09,0.00131323,5
QP-aware thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-aware thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-aware thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-aware thermo-hard HistoryGNO,FEM residual rel. RMS,156.715,90.0304,162.184,89.5646,191.641,102.076,38.9235,301.261,5
QP-aware thermo-hard HistoryGNO,FEM energy rel. err.,12045.9,11187.6,7535.36,4268.1,16151.3,11883.2,411.171,31863.8,5
