Model,Seed,Train final loss,Cyclic disp. rel. L2,Cyclic history rel. L2,History-increment rel. L2,QP history rel. L2,QP history-inc. rel. L2,QP eqp rel. L2,QP plastic-work rel. L2,QP von-Mises rel. L2,Eqp increment rel. L2,Plastic-work inc. rel. L2,Reversal hist-inc. rel. L2,Reversal yield-flag MAE,Yield-surface RMS,Plastic-work violation abs.,Plastic-work violation target-norm.,Plastic-work violation pred-norm.,FEM residual rel. RMS,FEM energy rel. err.
QP-thermo-hard HistoryGNO,20260517,736.096,51.0573,1.87989,0.987382,2.99125,1.03509,6.42651,6.36842,1.24697,4.07628,4.1064,0.919785,0.733096,0.00475532,0,0,0,89.8489,4257.01
QP-thermo-hard HistoryGNO,20260518,5301.1,110.276,1.19328,1.19554,2.36831,1.44301,4.57274,4.51752,0.995405,2.30598,2.32366,0.997215,0.378967,0.0931712,0,0,0,36.5774,351.891
QP-thermo-hard HistoryGNO,20260519,2755.7,80.4006,1.56585,1.03913,2.78092,1.09538,6.25107,6.18097,1.05406,4.35047,4.37531,0.999834,0.62121,0.104525,0,0,0,204.099,17827.9
QP-thermo-hard HistoryGNO,20260520,3152.99,61.8153,0.991791,1.00282,2.03065,1.00445,10.3866,10.7768,0.858013,5.77618,6.2156,0.999843,0.378724,0.141417,0,0,0,367.909,43338.1
QP-thermo-hard HistoryGNO,20260521,3897.65,77.9283,1.51312,0.999474,2.65088,1.10403,4.65291,4.55404,1.18431,2.24242,2.23017,0.872722,0.556606,0.0242254,0,0,0,161.725,7510.23
QP-aware thermo-hard HistoryGNO,20260517,310.987,43.3853,0.999964,1,0.999923,1,1,1,0.998556,1,1,0.999999,0.136166,2.09666e-09,0,0,0,94.8456,4440.11
QP-aware thermo-hard HistoryGNO,20260518,5336.39,110.366,0.989943,1.00298,0.981822,1.00315,1,1,0.629322,1,1,0.999118,0.136358,0.00144006,0,0,0,36.9096,368.401
QP-aware thermo-hard HistoryGNO,20260519,2767.46,84.8116,1.41666,1.08304,2.01249,1.26007,4.0511,3.92968,1.04747,1.75654,1.7394,0.867357,0.352885,0.00536186,0,0,0,197.154,16808.8
QP-aware thermo-hard HistoryGNO,20260520,3115.7,61.758,0.998916,1,0.997681,1.00001,1,1,0.955543,1,1,0.999988,0.136166,3.52023e-09,0,0,0,366.837,43205.8
QP-aware thermo-hard HistoryGNO,20260521,3984.69,77.0789,2.01283,1.00137,3.0884,1.01004,2.82395,2.73341,1.21769,2.31362,2.25378,0.997598,0.816824,0.000129559,0,0,0,161.562,7503.89
