Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP-thermo-hard HistoryGNO,Cyclic disp. rel. L2,76.2956,20.104,77.9283,61.8153,80.4006,18.5853,51.0573,110.276,5
QP-thermo-hard HistoryGNO,Cyclic history rel. L2,1.42879,0.308488,1.51312,1.19328,1.56585,0.372574,0.991791,1.87989,5
QP-thermo-hard HistoryGNO,History-increment rel. L2,1.04487,0.0772879,1.00282,0.999474,1.03913,0.0396547,0.987382,1.19554,5
QP-thermo-hard HistoryGNO,QP history rel. L2,2.5644,0.334636,2.65088,2.36831,2.78092,0.412617,2.03065,2.99125,5
QP-thermo-hard HistoryGNO,QP history-inc. rel. L2,1.13639,0.157742,1.09538,1.03509,1.10403,0.0689461,1.00445,1.44301,5
QP-thermo-hard HistoryGNO,QP eqp rel. L2,6.45797,2.11142,6.25107,4.65291,6.42651,1.7736,4.57274,10.3866,5
QP-thermo-hard HistoryGNO,QP plastic-work rel. L2,6.47956,2.28584,6.18097,4.55404,6.36842,1.81438,4.51752,10.7768,5
QP-thermo-hard HistoryGNO,QP von-Mises rel. L2,1.06775,0.137924,1.05406,0.995405,1.18431,0.188901,0.858013,1.24697,5
QP-thermo-hard HistoryGNO,Eqp increment rel. L2,3.75027,1.33644,4.07628,2.30598,4.35047,2.04449,2.24242,5.77618,5
QP-thermo-hard HistoryGNO,Plastic-work inc. rel. L2,3.85023,1.47589,4.1064,2.32366,4.37531,2.05165,2.23017,6.2156,5
QP-thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0.95788,0.0524812,0.997215,0.919785,0.999834,0.0800493,0.872722,0.999843,5
QP-thermo-hard HistoryGNO,Reversal yield-flag MAE,0.533721,0.138493,0.556606,0.378967,0.62121,0.242243,0.378724,0.733096,5
QP-thermo-hard HistoryGNO,Yield-surface RMS,0.0736187,0.0512171,0.0931712,0.0242254,0.104525,0.0802991,0.00475532,0.141417,5
QP-thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-thermo-hard HistoryGNO,FEM residual rel. RMS,172.032,113.67,161.725,89.8489,204.099,114.25,36.5774,367.909,5
QP-thermo-hard HistoryGNO,FEM energy rel. err.,14657,15469.5,7510.23,4257.01,17827.9,13570.9,351.891,43338.1,5
QP-aware thermo-hard HistoryGNO,Cyclic disp. rel. L2,75.48,22.4724,77.0789,61.758,84.8116,23.0536,43.3853,110.366,5
QP-aware thermo-hard HistoryGNO,Cyclic history rel. L2,1.28366,0.3993,0.999964,0.998916,1.41666,0.41774,0.989943,2.01283,5
QP-aware thermo-hard HistoryGNO,History-increment rel. L2,1.01748,0.0327989,1.00137,1,1.00298,0.00297451,1,1.08304,5
QP-aware thermo-hard HistoryGNO,QP history rel. L2,1.61606,0.835372,0.999923,0.997681,2.01249,1.01481,0.981822,3.0884,5
QP-aware thermo-hard HistoryGNO,QP history-inc. rel. L2,1.05465,0.102774,1.00315,1.00001,1.01004,0.010033,1,1.26007,5
QP-aware thermo-hard HistoryGNO,QP eqp rel. L2,1.97501,1.25561,1,1,2.82395,1.82395,1,4.0511,5
QP-aware thermo-hard HistoryGNO,QP plastic-work rel. L2,1.93262,1.20323,1,1,2.73341,1.73341,1,3.92968,5
QP-aware thermo-hard HistoryGNO,QP von-Mises rel. L2,0.969718,0.192062,0.998556,0.955543,1.04747,0.091931,0.629322,1.21769,5
QP-aware thermo-hard HistoryGNO,Eqp increment rel. L2,1.41403,0.536812,1,1,1.75654,0.756541,1,2.31362,5
QP-aware thermo-hard HistoryGNO,Plastic-work inc. rel. L2,1.39863,0.51461,1,1,1.7394,0.739398,1,2.25378,5
QP-aware thermo-hard HistoryGNO,Reversal hist-inc. rel. L2,0.972812,0.0527349,0.999118,0.997598,0.999988,0.00238949,0.867357,0.999999,5
QP-aware thermo-hard HistoryGNO,Reversal yield-flag MAE,0.31568,0.264249,0.136358,0.136166,0.352885,0.216719,0.136166,0.816824,5
QP-aware thermo-hard HistoryGNO,Yield-surface RMS,0.0013863,0.00206063,0.000129559,3.52023e-09,0.00144006,0.00144005,2.09666e-09,0.00536186,5
QP-aware thermo-hard HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP-aware thermo-hard HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP-aware thermo-hard HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP-aware thermo-hard HistoryGNO,FEM residual rel. RMS,171.462,112.164,161.562,94.8456,197.154,102.308,36.9096,366.837,5
QP-aware thermo-hard HistoryGNO,FEM energy rel. err.,14465.4,15357.1,7503.89,4440.11,16808.8,12368.7,368.401,43205.8,5
