Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
QP plastic-memory corrector HistoryGNO,Cyclic disp. rel. L2,94.2642,48.6529,88.3411,75.0963,89.9362,14.8399,34.8738,183.074,5
QP plastic-memory corrector HistoryGNO,Cyclic history rel. L2,1.57595,0.505121,1.76223,1.00215,1.95059,0.948442,0.961369,2.20342,5
QP plastic-memory corrector HistoryGNO,History-increment rel. L2,0.999598,0.000633095,0.999998,0.99885,1.00003,0.00117922,0.998818,1.0003,5
QP plastic-memory corrector HistoryGNO,QP history rel. L2,2.21349,1.02043,2.69782,1.00777,2.99624,1.98847,0.977926,3.3877,5
QP plastic-memory corrector HistoryGNO,QP history-inc. rel. L2,0.999733,0.000479362,1,0.999175,1.00003,0.000852406,0.999148,1.00031,5
QP plastic-memory corrector HistoryGNO,QP eqp rel. L2,1.22664,0.385486,1.03661,0.998474,1.12391,0.125432,0.982809,1.99137,5
QP plastic-memory corrector HistoryGNO,QP plastic-work rel. L2,1.21135,0.362915,1.03132,0.998584,1.11104,0.112459,0.983951,1.93183,5
QP plastic-memory corrector HistoryGNO,QP von-Mises rel. L2,1.1876,0.00877688,1.18631,1.18023,1.18863,0.00839806,1.17919,1.20364,5
QP plastic-memory corrector HistoryGNO,Eqp increment rel. L2,1.28985,0.47956,1.05581,0.998251,1.1751,0.176847,0.980799,2.23927,5
QP plastic-memory corrector HistoryGNO,Plastic-work inc. rel. L2,1.27267,0.456101,1.04827,0.998366,1.1583,0.159933,0.981922,2.17651,5
QP plastic-memory corrector HistoryGNO,Reversal hist-inc. rel. L2,1.00216,0.00417353,1.00003,0.999825,1.00642,0.00659156,0.99683,1.00769,5
QP plastic-memory corrector HistoryGNO,Reversal yield-flag MAE,0.534087,0.312834,0.715376,0.172849,0.780947,0.608098,0.138149,0.863117,5
QP plastic-memory corrector HistoryGNO,Yield-surface RMS,0.000108175,0.000134219,8.36001e-06,8.74119e-07,0.000205764,0.00020489,3.29314e-08,0.000325842,5
QP plastic-memory corrector HistoryGNO,Plastic-work violation abs.,0,0,0,0,0,0,0,0,5
QP plastic-memory corrector HistoryGNO,Plastic-work violation target-norm.,0,0,0,0,0,0,0,0,5
QP plastic-memory corrector HistoryGNO,Plastic-work violation pred-norm.,0,0,0,0,0,0,0,0,5
QP plastic-memory corrector HistoryGNO,FEM residual rel. RMS,105.87,52.35,99.4774,86.0543,111.404,25.3497,35.5081,196.907,5
QP plastic-memory corrector HistoryGNO,FEM energy rel. err.,6747.62,5476.21,4400.35,2800.52,10814,8013.45,450.886,15272.4,5
