Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Case mean,Case std,Case median,Case IQR,Cases,Case list
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,displacement_relative_l2,rollout disp rel L2,81.7615,13.5879,69.3514,16.5431,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_energy_relative_error,FEM energy rel err,174.325,133.962,126.397,77.0528,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_accepted_damping,Newton accepted damping,0.5,0,0.5,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_convergence_rate,Newton convergence rate,0,0,0,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_correction_relative_norm,Newton correction rel norm,2.38417,1.32991,1.24836,0.26177,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_failure_rate,Newton failure rate,0,0,0,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,1.51808,0.514707,1.21609,0.33716,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,12.1446,4.11769,9.72868,2.69729,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_residual_decrease_fraction,Newton residual decrease,0.875,5.7735e-07,0.875,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_residual_ratio,Newton residual ratio,0.125,5.7735e-07,0.125,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.499999,0,0.499999,5e-07,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_residual_relative_rms,FEM residual rel RMS,12.7199,4.62718,10.4435,3.19893,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,172.856,42.1124,134.146,11.7335,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,qp_history_increment_relative_l2,QP history-inc rel L2,1.45172,0.20257,1.66759,0.33075,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,cyclic,qp_history_relative_l2,QP history rel L2,1.50807,0.0736657,1.6309,0.102245,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,monotonic,displacement_relative_l2,rollout disp rel L2,92.3907,18.884,74.3818,20.5982,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
