metric,Strict path-OOD,Unload curriculum,Cyclic-seen upper bound
Displacement relative L2,1.0376 +/- 0.1521,1.3274 +/- 0.5968,0.9965 +/- 0.0968
History relative L2,1.1644 +/- 0.1026,0.9867 +/- 0.0461,0.8584 +/- 0.0378
History-increment relative L2,1.0185 +/- 0.0087,1.0165 +/- 0.0061,0.9918 +/- 0.0063
Eq. plastic strain increment relative L2,3.5931 +/- 1.1121,2.3066 +/- 0.6022,1.6886 +/- 0.4071
Plastic-work increment relative L2,11.0740 +/- 1.6219,8.5151 +/- 1.2307,5.8900 +/- 1.1893
Yield-flag MAE,0.5551 +/- 0.0207,0.5476 +/- 0.0122,0.5086 +/- 0.0079
Reversal history-increment relative L2,1.0464 +/- 0.0265,1.0500 +/- 0.0125,1.0034 +/- 0.0054
Reversal yield-flag MAE,0.6276 +/- 0.0236,0.5733 +/- 0.0262,0.4975 +/- 0.0185
Predicted yield-surface relative RMS,0.5291 +/- 0.0371,0.4644 +/- 0.0157,0.3679 +/- 0.0257
Plastic-work lower-bound violation,0.7007 +/- 0.6737,0.1676 +/- 0.2114,0.0352 +/- 0.0563
